QuarterEnd,BEGYO_Close_QuarterEnd
2023-12-31,2.8971
2024-03-31,4.0975
2024-06-30,3.155
2024-09-30,3.5717
2024-12-31,7.0343
2025-03-31,14.8821
2025-06-30,11.0028
2025-09-30,5.7842
2025-12-31,4.69
