QuarterEnd,TKNSA_Close_QuarterEnd
2016-03-31,4.2757
2016-06-30,3.8556
2016-09-30,3.239
2016-12-31,2.2903
2017-03-31,2.4733
2017-06-30,4.5129
2017-09-30,3.3813
2017-12-31,3.4897
2018-03-31,3.0763
2018-06-30,3.3
2018-09-30,3.1848
2018-12-31,2.0125
2019-03-31,1.7957
2019-06-30,1.694
2019-09-30,1.9244
2019-12-31,2.846
2020-03-31,4.1266
2020-06-30,4.6213
2020-09-30,4.8043
2020-12-31,8.6599
2021-03-31,8.9919
2021-06-30,6.41
2021-09-30,5.87
2021-12-31,6.32
2022-03-31,7.18
2022-06-30,7.24
2022-09-30,12.39
2022-12-31,26.5
2023-03-31,17.1
2023-06-30,20.74
2023-09-30,26.0
2023-12-31,29.7
2024-03-31,40.8
2024-06-30,30.94
2024-09-30,26.08
2024-12-31,40.0
2025-03-31,27.02
2025-06-30,21.8
2025-09-30,25.22
2025-12-31,21.94
