QuarterEnd,SAFKR_Close_QuarterEnd
2018-03-31,0.3109
2018-06-30,0.2718
2018-09-30,0.2746
2018-12-31,0.2732
2019-03-31,0.2913
2019-06-30,0.2908
2019-09-30,0.319
2019-12-31,0.3842
2020-03-31,0.4635
2020-06-30,0.846
2020-09-30,1.017
2020-12-31,1.9176
2021-03-31,1.8189
2021-06-30,1.2849
2021-09-30,1.2919
2021-12-31,1.2285
2022-03-31,1.1562
2022-06-30,1.4259
2022-09-30,1.6303
2022-12-31,3.2042
2023-03-31,2.1749
2023-06-30,2.5309
2023-09-30,5.1042
2023-12-31,5.6753
2024-03-31,6.5565
2024-06-30,9.8347
2024-09-30,8.4952
2024-12-31,11.1831
2025-03-31,13.2804
2025-06-30,17.907
2025-09-30,19.95
2025-12-31,23.48
