QuarterEnd,OBAMS_Close_QuarterEnd
2024-03-31,7.207
2024-06-30,6.0164
2024-09-30,5.1751
2024-12-31,9.1266
2025-03-31,7.3368
2025-06-30,7.8698
2025-09-30,7.6275
2025-12-31,7.96
