QuarterEnd,SELVA_Close_QuarterEnd
2021-06-30,0.4389
2021-09-30,0.8542
2021-12-31,1.3957
2022-03-31,1.7754
2022-06-30,0.7033
2022-09-30,0.8848
2022-12-31,1.3316
2023-03-31,0.8857
2023-06-30,1.0307
2023-09-30,1.7034
2023-12-31,1.0978
2024-03-31,1.5288
2024-06-30,1.3069
2024-09-30,1.2102
2024-12-31,1.0583
2025-03-31,1.0179
2025-06-30,1.0653
2025-09-30,2.2429
2025-12-31,2.48
