QuarterEnd,ANGEN_Close_QuarterEnd
2021-12-31,12.7235
2022-03-31,12.2268
2022-06-30,11.6656
2022-09-30,15.5339
2022-12-31,20.512
2023-03-31,12.3834
2023-06-30,13.21
2023-09-30,18.15
2023-12-31,12.45
2024-03-31,12.54
2024-06-30,11.7
2024-09-30,13.6
2024-12-31,12.36
2025-03-31,11.23
2025-06-30,10.06
2025-09-30,12.17
2025-12-31,10.81
