QuarterEnd,ADGYO_Close_QuarterEnd
2023-09-30,29.48
2023-12-31,28.6
2024-03-31,28.98
2024-06-30,27.78
2024-09-30,33.16
2024-12-31,33.44
2025-03-31,30.72
2025-06-30,34.84
2025-09-30,49.5
2025-12-31,43.98
