QuarterEnd,JANTS_Close_QuarterEnd
2016-03-31,0.2576
2016-06-30,0.2308
2016-09-30,0.2111
2016-12-31,0.249
2017-03-31,0.2964
2017-06-30,0.3273
2017-09-30,0.3261
2017-12-31,0.3915
2018-03-31,0.3931
2018-06-30,0.3254
2018-09-30,0.3514
2018-12-31,0.3539
2019-03-31,0.3542
2019-06-30,0.4078
2019-09-30,0.5896
2019-12-31,0.7994
2020-03-31,0.7466
2020-06-30,1.0919
2020-09-30,3.2193
2020-12-31,4.9852
2021-03-31,10.2741
2021-06-30,9.3455
2021-09-30,6.8678
2021-12-31,7.818
2022-03-31,7.6977
2022-06-30,8.879
2022-09-30,9.4705
2022-12-31,17.4897
2023-03-31,12.2818
2023-06-30,13.9928
2023-09-30,18.9065
2023-12-31,16.3124
2024-03-31,38.2245
2024-06-30,28.5797
2024-09-30,31.915
2024-12-31,26.4028
2025-03-31,22.9476
2025-06-30,19.39
2025-09-30,22.1
2025-12-31,18.61
