QuarterEnd,ZRGYO_Close_QuarterEnd
2021-06-30,1.586
2021-09-30,1.5761
2021-12-31,2.4088
2022-03-31,2.8747
2022-06-30,3.1057
2022-09-30,4.0285
2022-12-31,5.6757
2023-03-31,4.485
2023-06-30,4.3957
2023-09-30,5.4227
2023-12-31,5.6313
2024-03-31,6.0087
2024-06-30,7.7368
2024-09-30,9.8139
2024-12-31,13.4841
2025-03-31,19.6178
2025-06-30,24.2555
2025-09-30,23.04
2025-12-31,23.44
