QuarterEnd,KRVGD_Close_QuarterEnd
2020-12-31,1.0775
2021-03-31,1.4378
2021-06-30,1.1663
2021-09-30,1.3065
2021-12-31,1.3686
2022-03-31,1.0222
2022-06-30,1.017
2022-09-30,1.2666
2022-12-31,3.2176
2023-03-31,1.9112
2023-06-30,2.056
2023-09-30,2.7396
2023-12-31,2.2718
2024-03-31,3.0969
2024-06-30,2.8002
2024-09-30,2.21
2024-12-31,2.29
2025-03-31,2.09
2025-06-30,1.99
2025-09-30,2.54
2025-12-31,2.76
