QuarterEnd,OYYAT_Close_QuarterEnd
2021-06-30,7.5132
2021-09-30,7.7672
2021-12-31,13.9983
2022-03-31,14.9955
2022-06-30,25.42
2022-09-30,36.32
2022-12-31,38.5
2023-03-31,35.88
2023-06-30,48.6
2023-09-30,58.7
2023-12-31,40.38
2024-03-31,41.76
2024-06-30,41.24
2024-09-30,38.78
2024-12-31,35.58
2025-03-31,28.72
2025-06-30,32.42
2025-09-30,45.3
2025-12-31,40.5
