QuarterEnd,ISKPL_Close_QuarterEnd
2021-03-31,1.5787
2021-06-30,1.0093
2021-09-30,0.8757
2021-12-31,0.7003
2022-03-31,0.6259
2022-06-30,0.6695
2022-09-30,0.7276
2022-12-31,1.148
2023-03-31,0.7488
2023-06-30,0.813
2023-09-30,1.3181
2023-12-31,1.0301
2024-03-31,1.1493
2024-06-30,1.7821
2024-09-30,2.3553
2024-12-31,2.7086
2025-03-31,3.13
2025-06-30,3.9319
2025-09-30,7.19
2025-12-31,11.64
