QuarterEnd,MIATK_Close_QuarterEnd
2021-12-31,2.6523
2022-03-31,2.6769
2022-06-30,2.2938
2022-09-30,3.6538
2022-12-31,9.3846
2023-03-31,7.7538
2023-06-30,9.1692
2023-09-30,39.9154
2023-12-31,36.1
2024-03-31,68.35
2024-06-30,65.2
2024-09-30,43.1
2024-12-31,42.14
2025-03-31,45.92
2025-06-30,28.78
2025-09-30,44.46
2025-12-31,39.42
