QuarterEnd,ALTNY_Close_QuarterEnd
2024-06-30,19.9412
2024-09-30,23.1176
2024-12-31,19.3412
2025-03-31,21.1412
2025-06-30,19.2706
2025-09-30,17.0588
2025-12-31,14.65
