QuarterEnd,ASTOR_Close_QuarterEnd
2023-03-31,50.8809
2023-06-30,64.6636
2023-09-30,129.7165
2023-12-31,91.7649
2024-03-31,93.3706
2024-06-30,92.6894
2024-09-30,76.9014
2024-12-31,112.3677
2025-03-31,112.0718
2025-06-30,91.6996
2025-09-30,97.6
2025-12-31,116.9
