QuarterEnd,SNICA_Close_QuarterEnd
2022-12-31,6.8985
2023-03-31,5.7735
2023-06-30,5.6835
2023-09-30,9.0855
2023-12-31,7.398
2024-03-31,8.0685
2024-06-30,7.32
2024-09-30,5.41
2024-12-31,5.16
2025-03-31,3.96
2025-06-30,3.95
2025-09-30,4.97
2025-12-31,4.26
