QuarterEnd,ISFIN_Close_QuarterEnd
2016-03-31,0.6712
2016-06-30,0.8893
2016-09-30,0.8979
2016-12-31,0.967
2017-03-31,0.9152
2017-06-30,1.0756
2017-09-30,1.2065
2017-12-31,1.3936
2018-03-31,1.9454
2018-06-30,2.76
2018-09-30,2.2
2018-12-31,4.63
2019-03-31,6.82
2019-06-30,3.0
2019-09-30,2.22
2019-12-31,3.8
2020-03-31,2.87
2020-06-30,4.17
2020-09-30,3.89
2020-12-31,3.86
2021-03-31,3.27
2021-06-30,2.95
2021-09-30,2.94
2021-12-31,3.1
2022-03-31,3.5
2022-06-30,3.38
2022-09-30,7.99
2022-12-31,8.1
2023-03-31,5.74
2023-06-30,7.39
2023-09-30,12.85
2023-12-31,11.25
2024-03-31,10.37
2024-06-30,16.11
2024-09-30,11.48
2024-12-31,13.15
2025-03-31,13.46
2025-06-30,12.8
2025-09-30,16.39
2025-12-31,16.35
