QuarterEnd,MAGEN_Close_QuarterEnd
2021-09-30,1.14
2021-12-31,1.3019
2022-03-31,1.2648
2022-06-30,1.7011
2022-09-30,2.0445
2022-12-31,4.5279
2023-03-31,4.7085
2023-06-30,6.1542
2023-09-30,9.0825
2023-12-31,3.792
2024-03-31,6.096
2024-06-30,10.96
2024-09-30,8.816
2024-12-31,7.7
2025-03-31,11.2
2025-06-30,13.104
2025-09-30,22.52
2025-12-31,38.12
