QuarterEnd,ULUFA_Close_QuarterEnd
2021-12-31,0.5685
2022-03-31,0.5642
2022-06-30,0.5392
2022-09-30,1.0828
2022-12-31,2.2458
2023-03-31,1.321
2023-06-30,1.2394
2023-09-30,2.3557
2023-12-31,1.9712
2024-03-31,2.637
2024-06-30,3.118
2024-09-30,2.8512
2024-12-31,3.6723
2025-03-31,3.0998
2025-06-30,3.57
2025-09-30,3.79
2025-12-31,3.62
