QuarterEnd,TGSAS_Close_QuarterEnd
2016-03-31,1.7254
2016-06-30,1.8634
2016-09-30,1.9877
2016-12-31,1.7116
2017-03-31,1.7438
2017-06-30,2.2039
2017-09-30,1.8865
2017-12-31,1.6702
2018-03-31,2.5168
2018-06-30,2.5076
2018-09-30,2.5618
2018-12-31,2.1733
2019-03-31,2.3861
2019-06-30,3.4774
2019-09-30,3.1537
2019-12-31,4.4578
2020-03-31,3.026
2020-06-30,5.336
2020-09-30,8.152
2020-12-31,12.1325
2021-03-31,17.1154
2021-06-30,11.3593
2021-09-30,15.5403
2021-12-31,14.3949
2022-03-31,12.6957
2022-06-30,12.4899
2022-09-30,13.5965
2022-12-31,21.0538
2023-03-31,16.3581
2023-06-30,17.8848
2023-09-30,26.8223
2023-12-31,28.3954
2024-03-31,58.8458
2024-06-30,66.7109
2024-09-30,66.4146
2024-12-31,61.2298
2025-03-31,56.8845
2025-06-30,90.0
2025-09-30,183.6
2025-12-31,170.0
