QuarterEnd,EKOS_Close_QuarterEnd
2023-12-31,8.92
2024-03-31,13.6875
2024-06-30,8.075
2024-09-30,6.335
2024-12-31,6.335
2025-03-31,4.825
2025-06-30,5.27
2025-09-30,6.0
2025-12-31,5.88
