QuarterEnd,ESCAR_Close_QuarterEnd
2021-09-30,2.3462
2021-12-31,3.1425
2022-03-31,3.7072
2022-06-30,4.5572
2022-09-30,5.0746
2022-12-31,10.0272
2023-03-31,10.8136
2023-06-30,8.4876
2023-09-30,19.4153
2023-12-31,17.0613
2024-03-31,24.9358
2024-06-30,35.783
2024-09-30,37.9508
2024-12-31,45.5919
2025-03-31,52.0202
2025-06-30,66.8379
2025-09-30,20.0
2025-12-31,25.34
