QuarterEnd,NATEN_Close_QuarterEnd
2019-09-30,0.2622
2019-12-31,0.5016
2020-03-31,0.6439
2020-06-30,0.8367
2020-09-30,1.6088
2020-12-31,1.4053
2021-03-31,1.6151
2021-06-30,1.382
2021-09-30,1.3441
2021-12-31,1.7462
2022-03-31,1.9338
2022-06-30,2.5962
2022-09-30,3.4046
2022-12-31,7.5641
2023-03-31,5.0057
2023-06-30,6.38
2023-09-30,13.04
2023-12-31,9.008
2024-03-31,10.19
2024-06-30,9.664
2024-09-30,12.52
2024-12-31,15.16
2025-03-31,8.84
2025-06-30,10.36
2025-09-30,9.16
2025-12-31,8.67
