QuarterEnd,POLTK_Close_QuarterEnd
2016-03-31,16.1507
2016-06-30,15.707
2016-09-30,14.1521
2016-12-31,16.682
2017-03-31,16.9293
2017-06-30,31.3857
2017-09-30,29.5911
2017-12-31,31.8071
2018-03-31,40.5373
2018-06-30,37.9966
2018-09-30,39.1619
2018-12-31,34.3861
2019-03-31,42.126
2019-06-30,56.2856
2019-09-30,78.4468
2019-12-31,75.5051
2020-03-31,62.6296
2020-06-30,133.1996
2020-09-30,238.211
2020-12-31,404.9586
2021-03-31,332.6725
2021-06-30,358.0247
2021-09-30,325.8853
2021-12-31,555.4523
2022-03-31,571.9213
2022-06-30,640.912
2022-09-30,648.4109
2022-12-31,1399.8077
2023-03-31,1961.4305
2023-06-30,2623.3396
2023-09-30,6403.2002
2023-12-31,15395.0
2024-03-31,21502.5
2024-06-30,8405.0
2024-09-30,6677.5
2024-12-31,7005.0
2025-03-31,6245.0
2025-06-30,6212.5
2025-09-30,8850.0
2025-12-31,9305.0
