QuarterEnd,MOBTL_Close_QuarterEnd
2021-12-31,1.62
2022-03-31,1.81
2022-06-30,1.72
2022-09-30,2.87
2022-12-31,4.21
2023-03-31,3.02
2023-06-30,3.52
2023-09-30,4.52
2023-12-31,3.67
2024-03-31,6.14
2024-06-30,5.21
2024-09-30,4.46
2024-12-31,4.22
2025-03-31,3.8
2025-06-30,6.64
2025-09-30,6.89
2025-12-31,9.06
