QuarterEnd,A1CAP_Close_QuarterEnd
2023-06-30,5.136
2023-09-30,8.636
2023-12-31,5.476
2024-03-31,5.68
2024-06-30,5.364
2024-09-30,5.26
2024-12-31,5.6
2025-03-31,4.81
2025-06-30,8.61
2025-09-30,10.24
2025-12-31,11.8
