QuarterEnd,DOHOL_Close_QuarterEnd
2016-03-31,0.428
2016-06-30,0.3646
2016-09-30,0.634
2016-12-31,0.6023
2017-03-31,0.5389
2017-06-30,0.5865
2017-09-30,0.6895
2017-12-31,0.6895
2018-03-31,1.0778
2018-06-30,0.7687
2018-09-30,0.8559
2018-12-31,0.8084
2019-03-31,0.9035
2019-06-30,0.9895
2019-09-30,1.328
2019-12-31,1.5971
2020-03-31,1.328
2020-06-30,1.868
2020-09-30,2.1081
2020-12-31,2.7308
2021-03-31,2.8731
2021-06-30,2.5867
2021-09-30,2.3135
2021-12-31,2.5047
2022-03-31,3.0148
2022-06-30,3.2728
2022-09-30,4.5236
2022-12-31,10.0933
2023-03-31,8.9103
2023-06-30,9.6738
2023-09-30,13.1076
2023-12-31,10.8511
2024-03-31,12.9016
2024-06-30,16.5317
2024-09-30,14.8798
2024-12-31,14.2598
2025-03-31,15.6572
2025-06-30,15.3226
2025-09-30,17.13
2025-12-31,16.95
