QuarterEnd,BIENY_Close_QuarterEnd
2023-06-30,42.9
2023-09-30,64.4
2023-12-31,41.3
2024-03-31,42.6
2024-06-30,33.6
2024-09-30,29.72
2024-12-31,32.6
2025-03-31,34.16
2025-06-30,43.16
2025-09-30,41.18
2025-12-31,25.06
