QuarterEnd,ENSRI_Close_QuarterEnd
2022-03-31,1.1685
2022-06-30,1.0642
2022-09-30,1.2768
2022-12-31,2.063
2023-03-31,1.3624
2023-06-30,1.7071
2023-09-30,5.6175
2023-12-31,5.7288
2024-03-31,5.7758
2024-06-30,3.8848
2024-09-30,4.1222
2024-12-31,4.0217
2025-03-31,3.8163
2025-06-30,4.3597
2025-09-30,20.333
2025-12-31,17.21
