QuarterEnd,MACKO_Close_QuarterEnd
2023-03-31,12.128
2023-06-30,19.4077
2023-09-30,18.7504
2023-12-31,15.2298
2024-03-31,16.8898
2024-06-30,21.5194
2024-09-30,18.5979
2024-12-31,26.0264
2025-03-31,26.975
2025-06-30,37.5072
2025-09-30,38.26
2025-12-31,30.9
