QuarterEnd,MARBL_Close_QuarterEnd
2023-12-31,13.4977
2024-03-31,17.3527
2024-06-30,15.19
2024-09-30,13.0
2024-12-31,13.06
2025-03-31,12.34
2025-06-30,13.46
2025-09-30,14.05
2025-12-31,12.27
