QuarterEnd,OZYSR_Close_QuarterEnd
2024-06-30,27.24
2024-09-30,25.18
2024-12-31,26.0
2025-03-31,22.34
2025-06-30,26.56
2025-09-30,31.62
2025-12-31,41.32
