QuarterEnd,DYOBY_Close_QuarterEnd
2016-03-31,0.6821
2016-06-30,0.635
2016-09-30,0.9368
2016-12-31,1.0688
2017-03-31,1.0845
2017-06-30,1.0688
2017-09-30,1.7069
2017-12-31,2.3922
2018-03-31,1.8766
2018-06-30,1.6
2018-09-30,1.2605
2018-12-31,0.9116
2019-03-31,0.9147
2019-06-30,0.9336
2019-09-30,1.2102
2019-12-31,1.5403
2020-03-31,1.248
2020-06-30,1.9489
2020-09-30,2.7442
2020-12-31,3.571
2021-03-31,4.2028
2021-06-30,3.5591
2021-09-30,3.2385
2021-12-31,2.8733
2022-03-31,2.8575
2022-06-30,3.8893
2022-09-30,6.0578
2022-12-31,8.8201
2023-03-31,6.8833
2023-06-30,8.0333
2023-09-30,12.3333
2023-12-31,8.0933
2024-03-31,12.3867
2024-06-30,17.0667
2024-09-30,21.0
2024-12-31,22.48
2025-03-31,21.4
2025-06-30,13.5
2025-09-30,14.95
2025-12-31,12.94
