QuarterEnd,SOKE_Close_QuarterEnd
2023-03-31,14.2799
2023-06-30,13.14
2023-09-30,24.28
2023-12-31,16.11
2024-03-31,16.41
2024-06-30,14.22
2024-09-30,11.87
2024-12-31,12.64
2025-03-31,11.16
2025-06-30,10.83
2025-09-30,12.25
2025-12-31,10.34
