QuarterEnd,KLRHO_Close_QuarterEnd
2022-09-30,10.968
2022-12-31,10.896
2023-03-31,10.864
2023-06-30,13.8
2023-09-30,38.1
2023-12-31,34.24
2024-03-31,42.44
2024-06-30,32.18
2024-09-30,29.9
2024-12-31,32.94
2025-03-31,24.0
2025-06-30,70.1
2025-09-30,111.0
2025-12-31,306.25
