QuarterEnd,MHRGY_Close_QuarterEnd
2023-12-31,3.4304
2024-03-31,3.4039
2024-06-30,3.3511
2024-09-30,3.1329
2024-12-31,3.2585
2025-03-31,3.3577
2025-06-30,3.86
2025-09-30,4.19
2025-12-31,3.45
