QuarterEnd,KONKA_Close_QuarterEnd
2021-12-31,2.3502
2022-03-31,4.2505
2022-06-30,6.4767
2022-09-30,9.9036
2022-12-31,20.9221
2023-03-31,11.4776
2023-06-30,16.1867
2023-09-30,19.4
2023-12-31,15.6667
2024-03-31,15.8933
2024-06-30,16.5267
2024-09-30,13.4333
2024-12-31,13.5533
2025-03-31,11.3467
2025-06-30,10.38
2025-09-30,17.1333
2025-12-31,15.69
