QuarterEnd,BIOEN_Close_QuarterEnd
2021-06-30,5.994
2021-09-30,9.936
2021-12-31,5.5
2022-03-31,5.55
2022-06-30,7.53
2022-09-30,12.6
2022-12-31,18.95
2023-03-31,17.2
2023-06-30,14.85
2023-09-30,22.04
2023-12-31,17.2
2024-03-31,17.88
2024-06-30,22.28
2024-09-30,15.76
2024-12-31,17.04
2025-03-31,18.25
2025-06-30,22.44
2025-09-30,27.12
2025-12-31,16.7
