QuarterEnd,PENTA_Close_QuarterEnd
2021-06-30,3.5778
2021-09-30,19.1778
2021-12-31,43.8778
2022-03-31,41.6444
2022-06-30,44.5
2022-09-30,44.1222
2022-12-31,53.2
2023-03-31,17.0
2023-06-30,25.46
2023-09-30,24.52
2023-12-31,17.99
2024-03-31,18.69
2024-06-30,16.13
2024-09-30,14.51
2024-12-31,15.54
2025-03-31,13.62
2025-06-30,13.16
2025-09-30,16.01
2025-12-31,13.09
