QuarterEnd,VERUS_Close_QuarterEnd
2016-03-31,15.7816
2016-06-30,16.6026
2016-09-30,14.4264
2016-12-31,14.3574
2017-03-31,14.0423
2017-06-30,15.1058
2017-09-30,14.3624
2017-12-31,22.7969
2018-03-31,28.7647
2018-06-30,21.7824
2018-09-30,26.5122
2018-12-31,16.5204
2019-03-31,21.8148
2019-06-30,17.9634
2019-09-30,16.026
2019-12-31,18.5092
2020-03-31,15.0387
2020-06-30,26.1415
2020-09-30,40.0703
2020-12-31,44.9992
2021-03-31,56.274
2021-06-30,46.436
2021-09-30,45.6576
2021-12-31,51.8065
2022-03-31,56.6976
2022-06-30,62.8865
2022-09-30,69.2138
2022-12-31,109.3637
2023-03-31,136.3301
2023-06-30,149.8133
2023-09-30,194.8174
2023-12-31,196.8155
2024-03-31,244.0713
2024-06-30,299.2196
2024-09-30,309.46
2024-12-31,293.0
2025-03-31,260.0
2025-06-30,290.5
2025-09-30,331.25
2025-12-31,363.5
