QuarterEnd,KLSYN_Close_QuarterEnd
2022-06-30,2.0603
2022-09-30,3.2751
2022-12-31,3.7221
2023-03-31,2.9835
2023-06-30,4.6919
2023-09-30,6.2591
2023-12-31,4.9074
2024-03-31,6.0926
2024-06-30,5.2698
2024-09-30,4.7605
2024-12-31,5.4559
2025-03-31,5.3384
2025-06-30,5.407
2025-09-30,6.42
2025-12-31,7.13
