QuarterEnd,KOCMT_Close_QuarterEnd
2024-06-30,3.438
2024-09-30,2.7209
2024-12-31,3.0576
2025-03-31,2.3078
2025-06-30,2.2204
2025-09-30,2.96
2025-12-31,2.49
