QuarterEnd,DOGUB_Close_QuarterEnd
2016-03-31,1.2658
2016-06-30,0.8041
2016-09-30,0.7893
2016-12-31,0.752
2017-03-31,0.7818
2017-06-30,1.0871
2017-09-30,0.9754
2017-12-31,1.0871
2018-03-31,1.854
2018-06-30,2.1072
2018-09-30,3.1272
2018-12-31,1.7944
2019-03-31,1.1764
2019-06-30,0.9285
2019-09-30,1.2601
2019-12-31,1.7244
2020-03-31,1.3845
2020-06-30,2.3295
2020-09-30,3.1171
2020-12-31,3.6311
2021-03-31,4.228
2021-06-30,4.9907
2021-09-30,4.1036
2021-12-31,4.12
2022-03-31,3.76
2022-06-30,4.05
2022-09-30,7.8
2022-12-31,10.3
2023-03-31,23.2
2023-06-30,15.03
2023-09-30,13.48
2023-12-31,14.3
2024-03-31,20.12
2024-06-30,30.38
2024-09-30,23.5
2024-12-31,19.98
2025-03-31,17.44
2025-06-30,18.5
2025-09-30,21.36
2025-12-31,48.42
