QuarterEnd,GZNMI_Close_QuarterEnd
2022-03-31,15.5077
2022-06-30,15.9923
2022-09-30,11.7308
2022-12-31,17.12
2023-03-31,15.8
2023-06-30,14.62
2023-09-30,26.86
2023-12-31,22.42
2024-03-31,45.5
2024-06-30,27.64
2024-09-30,48.3
2024-12-31,72.2
2025-03-31,99.9
2025-06-30,239.0
2025-09-30,281.5
2025-12-31,57.0
