QuarterEnd,GIPTA_Close_QuarterEnd
2023-09-30,33.0011
2023-12-31,27.8938
2024-03-31,45.6712
2024-06-30,30.9386
2024-09-30,32.1851
2024-12-31,43.5865
2025-03-31,58.4914
2025-06-30,112.1
2025-09-30,138.0
2025-12-31,69.3
