QuarterEnd,AKGRT_Close_QuarterEnd
2016-03-31,0.3025
2016-06-30,0.3041
2016-09-30,0.3152
2016-12-31,0.363
2017-03-31,0.4394
2017-06-30,0.519
2017-09-30,0.4888
2017-12-31,0.527
2018-03-31,0.702
2018-06-30,0.6742
2018-09-30,0.6307
2018-12-31,0.6359
2019-03-31,0.8731
2019-06-30,0.9014
2019-09-30,1.0493
2019-12-31,1.2336
2020-03-31,1.0588
2020-06-30,1.5506
2020-09-30,1.7647
2020-12-31,2.1176
2021-03-31,1.9646
2021-06-30,1.9087
2021-09-30,1.7916
2021-12-31,2.7014
2022-03-31,1.7177
2022-06-30,1.4374
2022-09-30,1.8502
2022-12-31,3.9
2023-03-31,2.89
2023-06-30,3.57
2023-09-30,7.8
2023-12-31,5.25
2024-03-31,6.26
2024-06-30,8.03
2024-09-30,5.6
2024-12-31,7.64
2025-03-31,6.7
2025-06-30,6.19
2025-09-30,6.1
2025-12-31,6.8
