QuarterEnd,BIGCH_Close_QuarterEnd
2023-06-30,21.934
2023-09-30,35.4184
2023-12-31,22.0304
2024-03-31,24.4804
2024-06-30,30.314
2024-09-30,27.3614
2024-12-31,30.314
2025-03-31,25.0976
2025-06-30,39.6051
2025-09-30,64.0
2025-12-31,50.6
