QuarterEnd,EKSUN_Close_QuarterEnd
2023-03-31,10.0917
2023-06-30,7.07
2023-09-30,10.5525
2023-12-31,6.7492
2024-03-31,7.14
2024-06-30,6.5683
2024-09-30,6.7
2024-12-31,6.96
2025-03-31,5.39
2025-06-30,5.57
2025-09-30,6.43
2025-12-31,5.28
