QuarterEnd,BESLR_Close_QuarterEnd
2016-03-31,1.9405
2016-06-30,1.6853
2016-09-30,1.4463
2016-12-31,1.2788
2017-03-31,1.7423
2017-06-30,1.7228
2017-09-30,2.4478
2017-12-31,4.271
2018-03-31,3.8377
2018-06-30,2.49
2018-09-30,2.07
2018-12-31,1.8
2019-03-31,1.47
2019-06-30,1.71
2019-09-30,2.42
2019-12-31,3.26
2020-03-31,3.38
2020-06-30,4.54
2020-09-30,5.98
2020-12-31,6.58
2021-03-31,5.57
2021-06-30,4.44
2021-09-30,4.12
2021-12-31,4.68
2022-03-31,4.16
2022-06-30,5.12
2022-09-30,8.21
2022-12-31,17.5
2023-03-31,10.44
2023-06-30,8.97
2023-09-30,12.56
2023-12-31,9.38
2024-03-31,12.29
2024-06-30,17.84
2024-09-30,12.96
2024-12-31,14.74
2025-03-31,16.05
2025-06-30,13.51
2025-09-30,13.62
2025-12-31,12.24
