QuarterEnd,BUCIM_Close_QuarterEnd
2016-03-31,0.5564
2016-06-30,0.6358
2016-09-30,0.8296
2016-12-31,0.7973
2017-03-31,0.7262
2017-06-30,0.7605
2017-09-30,0.6739
2017-12-31,0.6992
2018-03-31,0.7405
2018-06-30,0.6697
2018-09-30,0.6836
2018-12-31,0.6076
2019-03-31,0.6159
2019-06-30,0.5593
2019-09-30,0.6863
2019-12-31,0.8603
2020-03-31,0.6726
2020-06-30,0.9283
2020-09-30,1.3818
2020-12-31,2.5873
2021-03-31,2.0428
2021-06-30,1.7621
2021-09-30,1.8609
2021-12-31,2.0376
2022-03-31,2.0654
2022-06-30,2.2895
2022-09-30,4.1016
2022-12-31,6.0306
2023-03-31,6.0404
2023-06-30,5.9429
2023-09-30,9.0021
2023-12-31,6.8498
2024-03-31,7.9587
2024-06-30,8.1353
2024-09-30,7.1193
2024-12-31,9.0798
2025-03-31,7.3272
2025-06-30,6.83
2025-09-30,6.6
2025-12-31,8.0
