QuarterEnd,REEDR_Close_QuarterEnd
2023-09-30,18.09
2023-12-31,21.56
2024-03-31,50.8
2024-06-30,35.6
2024-09-30,25.62
2024-12-31,14.35
2025-03-31,12.91
2025-06-30,9.16
2025-09-30,10.57
2025-12-31,6.61
