QuarterEnd,BORLS_Close_QuarterEnd
2023-12-31,7.9491
2024-03-31,7.689
2024-06-30,8.7826
2024-09-30,9.5195
2024-12-31,16.4844
2025-03-31,23.2324
2025-06-30,16.629
2025-09-30,24.48
2025-12-31,3.96
