QuarterEnd,BMSCH_Close_QuarterEnd
2021-06-30,1.856
2021-09-30,2.8373
2021-12-31,3.0198
2022-03-31,2.4723
2022-06-30,3.8379
2022-09-30,4.1903
2022-12-31,6.0616
2023-03-31,5.029
2023-06-30,5.7231
2023-09-30,6.8092
2023-12-31,6.0623
2024-03-31,8.5305
2024-06-30,8.7326
2024-09-30,8.2779
2024-12-31,12.406
2025-03-31,12.65
2025-06-30,16.16
2025-09-30,14.75
2025-12-31,30.4
