QuarterEnd,GSDHO_Close_QuarterEnd
2016-03-31,0.2096
2016-06-30,0.223
2016-09-30,0.2184
2016-12-31,0.23
2017-03-31,0.2509
2017-06-30,0.276
2017-09-30,0.3387
2017-12-31,0.3011
2018-03-31,0.3931
2018-06-30,0.2927
2018-09-30,0.3011
2018-12-31,0.3345
2019-03-31,0.3721
2019-06-30,0.3471
2019-09-30,0.3805
2019-12-31,0.623
2020-03-31,0.506
2020-06-30,0.853
2020-09-30,0.8865
2020-12-31,1.0495
2021-03-31,0.8488
2021-06-30,0.7568
2021-09-30,1.0914
2021-12-31,1.2502
2022-03-31,1.3339
2022-06-30,1.5053
2022-09-30,2.0264
2022-12-31,4.092
2023-03-31,2.8977
2023-06-30,3.1718
2023-09-30,4.88
2023-12-31,3.58
2024-03-31,3.98
2024-06-30,4.12
2024-09-30,3.77
2024-12-31,3.86
2025-03-31,3.86
2025-06-30,3.81
2025-09-30,4.64
2025-12-31,4.57
