QuarterEnd,ASGYO_Close_QuarterEnd
2023-09-30,22.8264
2023-12-31,14.2197
2024-03-31,14.6333
2024-06-30,12.9691
2024-09-30,12.06
2024-12-31,12.34
2025-03-31,10.64
2025-06-30,10.77
2025-09-30,12.97
2025-12-31,10.85
