QuarterEnd,KENT_Close_QuarterEnd
2016-03-31,18.2021
2016-06-30,19.8532
2016-09-30,17.5152
2016-12-31,17.1057
2017-03-31,21.0949
2017-06-30,19.9985
2017-09-30,18.8757
2017-12-31,18.0304
2018-03-31,18.8625
2018-06-30,21.861
2018-09-30,15.9433
2018-12-31,15.7188
2019-03-31,15.5867
2019-06-30,16.1811
2019-09-30,15.7584
2019-12-31,23.2215
2020-03-31,23.6574
2020-06-30,67.8681
2020-09-30,334.1
2020-12-31,355.6
2021-03-31,338.0
2021-06-30,235.8
2021-09-30,189.2
2021-12-31,175.9
2022-03-31,231.9
2022-06-30,169.0
2022-09-30,165.1
2022-12-31,225.0
2023-03-31,193.9
2023-06-30,180.0
2023-09-30,438.4
2023-12-31,497.5
2024-03-31,1315.0
2024-06-30,1025.0
2024-09-30,892.0
2024-12-31,1017.0
2025-03-31,840.5
2025-06-30,710.0
2025-09-30,828.0
2025-12-31,715.0
