QuarterEnd,QNBTR_Close_QuarterEnd
2016-03-31,3.7713
2016-06-30,4.2693
2016-09-30,4.216
2016-12-31,4.4735
2017-03-31,4.8097
2017-06-30,5.0899
2017-09-30,5.6017
2017-12-31,5.4627
2018-03-31,5.9394
2018-06-30,4.75
2018-09-30,5.22
2018-12-31,9.01
2019-03-31,6.66
2019-06-30,7.0
2019-09-30,16.95
2019-12-31,37.5
2020-03-31,35.48
2020-06-30,45.64
2020-09-30,67.7
2020-12-31,70.35
2021-03-31,55.1
2021-06-30,41.52
2021-09-30,36.48
2021-12-31,39.3
2022-03-31,38.0
2022-06-30,35.0
2022-09-30,39.92
2022-12-31,53.5
2023-03-31,39.86
2023-06-30,42.96
2023-09-30,403.9
2023-12-31,287.75
2024-03-31,290.0
2024-06-30,318.0
2024-09-30,305.0
2024-12-31,265.5
2025-03-31,346.5
2025-06-30,270.0
2025-09-30,409.5
2025-12-31,451.5
