QuarterEnd,DERHL_Close_QuarterEnd
2019-09-30,0.4642
2019-12-31,0.8934
2020-03-31,0.5474
2020-06-30,1.5303
2020-09-30,1.8461
2020-12-31,1.9477
2021-03-31,1.7202
2021-06-30,0.9672
2021-09-30,1.1108
2021-12-31,1.0048
2022-03-31,1.0732
2022-06-30,1.877
2022-09-30,1.8943
2022-12-31,3.5965
2023-03-31,2.7402
2023-06-30,3.1191
2023-09-30,13.7427
2023-12-31,7.98
2024-03-31,9.18
2024-06-30,8.33
2024-09-30,8.27
2024-12-31,17.3
2025-03-31,50.2
2025-06-30,22.58
2025-09-30,18.68
2025-12-31,13.14
