QuarterEnd,DOFER_Close_QuarterEnd
2023-12-31,24.6219
2024-03-31,41.6331
2024-06-30,38.5848
2024-09-30,30.7
2024-12-31,28.92
2025-03-31,24.84
2025-06-30,39.52
2025-09-30,59.0
2025-12-31,54.4
