QuarterEnd,PSGYO_Close_QuarterEnd
2021-12-31,0.8144
2022-03-31,0.8723
2022-06-30,0.5368
2022-09-30,1.0379
2022-12-31,1.9332
2023-03-31,1.319
2023-06-30,1.4164
2023-09-30,2.2534
2023-12-31,1.6748
2024-03-31,2.1581
2024-06-30,1.8124
2024-09-30,1.4637
2024-12-31,1.553
2025-03-31,1.6128
2025-06-30,2.0906
2025-09-30,3.2355
2025-12-31,2.49
