QuarterEnd,SKBNK_Close_QuarterEnd
2016-03-31,1.02
2016-06-30,0.8352
2016-09-30,0.7395
2016-12-31,0.7523
2017-03-31,0.7523
2017-06-30,0.7842
2017-09-30,0.9244
2017-12-31,1.1667
2018-03-31,1.0902
2018-06-30,0.8097
2018-09-30,0.7013
2018-12-31,0.7013
2019-03-31,0.6821
2019-06-30,0.6184
2019-09-30,0.6758
2019-12-31,0.8352
2020-03-31,0.5738
2020-06-30,0.9244
2020-09-30,1.02
2020-12-31,1.1567
2021-03-31,0.9116
2021-06-30,0.812
2021-09-30,0.743
2021-12-31,0.7737
2022-03-31,0.7737
2022-06-30,0.7967
2022-09-30,1.4171
2022-12-31,2.344
2023-03-31,1.9687
2023-06-30,2.0693
2023-09-30,4.9615
2023-12-31,3.3704
2024-03-31,3.245
2024-06-30,4.5574
2024-09-30,4.3097
2024-12-31,4.6961
2025-03-31,4.6664
2025-06-30,6.59
2025-09-30,6.75
2025-12-31,7.78
