QuarterEnd,HTTBT_Close_QuarterEnd
2022-03-31,5.3508
2022-06-30,6.154
2022-09-30,6.834
2022-12-31,11.8235
2023-03-31,13.498
2023-06-30,18.2665
2023-09-30,27.5613
2023-12-31,24.2038
2024-03-31,27.9862
2024-06-30,30.4088
2024-09-30,37.825
2024-12-31,51.55
2025-03-31,46.66
2025-06-30,40.82
2025-09-30,48.4
2025-12-31,41.96
