QuarterEnd,TEZOL_Close_QuarterEnd
2021-09-30,2.8202
2021-12-31,2.9834
2022-03-31,2.9911
2022-06-30,3.5064
2022-09-30,6.1479
2022-12-31,12.8183
2023-03-31,8.2727
2023-06-30,12.261
2023-09-30,19.0707
2023-12-31,15.6746
2024-03-31,18.078
2024-06-30,14.8299
2024-09-30,16.0575
2024-12-31,15.4544
2025-03-31,16.2495
2025-06-30,20.72
2025-09-30,14.83
2025-12-31,11.85
