ticker,name
420,NUHCM
421,OBAMS
422,OBASE
423,ODAS
424,ODINE
425,OFSYM
426,ONCSM
427,ONRYT
428,ORCAY
429,ORGE
430,ORMA
431,OSMEN
432,OSTIM
433,OTKAR
434,OTTO
435,OYAKC
436,OYAYO
437,OYLUM
438,OYYAT
439,OZATD
440,OZGYO
441,OZKGY
442,OZRDN
443,OZSUB
444,OZYSR
445,PAGYO
446,PAHOL
447,PAMEL
448,PAPIL
449,PARSN
450,PASEU
451,PATEK
452,PCILT
453,PEHOL
454,PEKGY
455,PENGD
456,PENTA
457,PETKM
458,PETUN
459,PGSUS
460,PINSU
461,PKART
462,PKENT
463,PLTUR
464,PNLSN
465,PNSUT
466,POLHO
467,POLTK
468,PRDGS
469,PRKAB
470,PRKME
471,PRZMA
472,PSDTC
473,PSGYO
474,QNBFB
475,QNBFK
476,QNBFL
477,QNBTR
478,QUAGR
479,RALYH
480,RAYSG
481,REEDR
482,RGYAS
483,RNPOL
484,RODRG
485,ROYAL
486,RTALB
487,RUBNS
488,RUZYE
489,RYGYO
490,RYSAS
491,SAFKR
492,SAHOL
493,SAMAT
494,SANEL
495,SANFM
496,SANKO
497,SARKY
498,SASA
499,SAYAS
500,SDTTR
501,SEGMN
502,SEGYO
503,SEKFK
504,SEKUR
505,SELEC
506,SELGD
507,SELVA
508,SERNT
509,SEYKM
510,SILVR
511,SISE
512,SKBNK
513,SKTAS
514,SKYLP
515,SKYMD
516,SMART
517,SMRTG
518,SMRVA
519,SNGYO
520,SNICA
521,SNKRN
522,SNPAM
523,SODSN
524,SOKE
525,SOKM
526,SONME
527,SRVGY
528,SUMAS
529,SUNTK
530,SURGY
531,SUWEN
532,TABGD
533,TARKM
534,TATEN
535,TATGD
536,TAVHL
537,TBORG
538,TCELL
539,TCKRC
540,TDGYO
541,TEHOL
542,TEKTU
543,TERA
544,TETMT
545,TEZOL
546,TGSAS
547,THYAO
548,TKFEN
549,TKNSA
550,TLMAN
551,TMPOL
552,TMSN
553,TNZTP
554,TOASO
555,TRALT
556,TRCAS
557,TRENJ
558,TRGYO
559,TRHOL
560,TRILC
561,TRMET
562,TSGYO
563,TSKB
564,TSPOR
565,TTKOM
566,TTRAK
567,TUCLK
568,TUKAS
569,TUPRS
570,TUREX
571,TURGG
572,TURSG
573,UFUK
574,ULAS
575,ULKER
576,ULUFA
577,ULUSE
578,ULUUN
579,UMPAS
580,UNLU
581,USAK
582,UZERB
583,VAKBN
584,VAKFA
585,VAKFN
586,VAKKO
587,VANGD
588,VBTYZ
589,VERTU
590,VERUS
591,VESBE
592,VESTL
593,VKFYO
594,VKGYO
595,VKING
596,VRGYO
597,VSNMD
598,YAPRK
599,YATAS
600,YAYLA
601,YBTAS
602,YEOTK
603,YESIL
604,YGGYO
605,YGYO
606,YIGIT
607,YKBNK
608,YKSLN
609,YONGA
610,YUNSA
611,YYAPI
612,YYLGD
613,ZEDUR
614,ZERGY
615,ZOREN
616,ZRGYO
